太陽,must,positive,happy
ブラインド,can,unknown,relieved
布団,can,positive,relieved
選択,should,positive,relieved
ダンボール,may,positive,happy
拓く,may,both,frowning
黄色,can,positive,happy
血,cant,neither,neutral
3500,cant,unknown,thinking
〇〇,should,unknown,thinking
剥がれかけたシール,cant,negative,thinking
エアリーチョコ,can,positive,hearts
青,must,negative,crying
４時ですよ～だ,can,positive,tongue
外に出たい,can,positive,frowning
"春 ゴミを散らすカラス",can,negative,dizzy
生き生きとし過ぎ,could,negative,neutral
温かさで匂い立つ,should,negative,steam
眩しい,cant,neither,relieved
ライフサイクル・ライフスパン,should,positive,thinking
考える速さ,can,neither,thinking
境界をつくる,should,positive,thinking
差別と区別,should,positive,thinking
失敗を繰り返す,must,positive,tongue
同じ失敗を繰り返す,must,negative,steam
人狼,should,positive,hearts
ダウト,should,positive,hearts
わっか,cant,unknown,neutral
跳ねるお湯,should,positive,happy
腐った水,cant,negative,dizzy
アルミホイル,must,positive,hearts
投げあう,should,both,tongue
うるさい,must,negative,steam
ただの音楽,cant,negative,neutral
知ってる間合い,could,unknown,neutral
