⧘,ff0000,"11.Aug.22.Thu 12:06:22 PM",122.27.36.85
⦂,d2b48c,"11.Aug.22.Thu 12:06:40 PM",122.27.36.85
∥,556b2f,"11.Aug.22.Thu 12:06:55 PM",122.27.36.85
⋰,ffb6c1,"11.Aug.22.Thu 12:07:24 PM",122.27.36.85
⎮,0000cd,"11.Aug.22.Thu 12:07:37 PM",122.27.36.85
◡,ba55d3,"11.Aug.22.Thu 12:07:54 PM",122.27.36.85
▱,f0ffff,"11.Aug.22.Thu 12:08:10 PM",122.27.36.85
∝,ffdab9,"11.Aug.22.Thu 12:08:30 PM",122.27.36.85
⍥,ff8c00,"11.Aug.22.Thu 3:07:36 PM",2400:2200:5e1:c641:24a5:e599:8f8e:6a22
❞,90ee90,"11.Aug.22.Thu 7:02:22 PM",122.27.36.85
∰,ff8c00,"11.Aug.22.Thu 9:17:24 PM",2400:2200:514:cce7:a70e:9d41:1127:707f
⍥,b0c4de,"11.Aug.22.Thu 9:19:08 PM",2400:2200:514:cce7:a70e:9d41:1127:707f
